id,answers,correct_answer,question,edition,json
021,"[""Ghostbusters costume"",""Michael Myers costume"",""An alien mask"",""No costume""]",1,"What does Sadie Sink's character Max in ""Stranger Things"" wear for Halloween?",Global,"{""question"":""What does Sadie Sink's character Max in ""Stranger Things"" wear for Halloween?"",""correct_answer"":1,""answers"":[""Ghostbusters costume"",""Michael Myers costume"",""An alien mask"",""No costume""]}"
022,"[""Huey Lewis and the News"",""Funkadelic"",""Ray Parker Jr."",""Eurythmics""]",2,"Who wrote and performed the theme for the cult classic film ""Ghostbusters?""",Global,"{""question"":""Who wrote and performed the theme for the cult classic film ""Ghostbusters?"""",""correct_answer"":2,""answers"":[""Huey Lewis and the News"",""Funkadelic"",""Ray Parker Jr."",""Eurythmics""]}"
023,"[""Taxi Driver"",""Tootsie"",""Escape from New York"",""Midnight Cowboy""]",3,"In was film was the phrase ""I'm walking here"" ad libbed when the actor saying it was almost hit by a car?",Global,"{""question"":""In was film was the phrase ""I'm walking here"" ad libbed when the actor saying it was almost hit by a car?"",""correct_answer"":3,""answers"":[""Taxi Driver"",""Tootsie"",""Escape from New York"",""Midnight Cowboy""]}"
024,"[""Delaware"",""Pennsylvania"",""Massachusetts"",""New Jersey""]",2,What was the first state to sign the Declaration of Independence?,All,"{""question"":""What was the first state to sign the Declaration of Independence?"",""correct_answer"":2,""answers"":[""Delaware"",""Pennsylvania"",""Massachusetts"",""New Jersey""]}"
025,"[""21st Amendment"",""18th Amendment"",""15th Amendment"",""19th Amendment""]",3,Women were granted the right to vote when what amendment was passed?,All,"{""question"":""Women were granted the right to vote when what amendment was passed?"",""correct_answer"":3,""answers"":[""21st Amendment"",""18th Amendment"",""15th Amendment"",""19th Amendment""]}"
026,"[""Theodore Roosevelt"",""Franklin Delano Roosevelt"",""Herbert Hoover"",""John F. Kennedy""]",1,"What US President was famous for their ""Fireside Chats"" where they spoke to citizens over the radio to calm their nerves during crisis?",All,"{""question"":""What US President was famous for their ""Fireside Chats"" where they spoke to citizens over the radio to calm their nerves during crisis?"",""correct_answer"":1,""answers"":[""Theodore Roosevelt"",""Franklin Delano Roosevelt"",""Herbert Hoover"",""John F. Kennedy""]}"
027,"[""Ronald Reagan"",""Dwight D. Eisenhower"",""Richard Nixon"",""Bill Clinton""]",2,Who was the only president in US history to resign?,All,"{""question"":""Who was the only president in US history to resign?"",""correct_answer"":2,""answers"":[""Ronald Reagan"",""Dwight D. Eisenhower"",""Richard Nixon"",""Bill Clinton""]}"
028,"[""Hip to Be Square"",""Take On Me"",""Wake Me Up Before You Go-Go"",""Old Time Rock and Roll""]",3,"What song did Tom Cruise's character lip sync in his underwear in the iconic ""Risky Business"" scene?",Global,"{""question"":""What song did Tom Cruise's character lip sync in his underwear in the iconic ""Risky Business"" scene?"",""correct_answer"":3,""answers"":[""Hip to Be Square"",""Take On Me"",""Wake Me Up Before You Go-Go"",""Old Time Rock and Roll""]}"
998,"[""dquotesLa La Landdquotes"",""dquotesMoonlightdquotes"",""dquotesArrivaldquotes"",""dquotesManchester by the Seadquotes""]",0,What film was incorrectly called for the best picture winner during the 2017 Oscars?,Global,"{""question"":""What film was incorrectly called for the best picture winner during the 2017 Oscars?"",""correct_answer"":0,""answers"":[""dquotesLa La Landdquotes"",""dquotesMoonlightdquotes"",""dquotesArrivaldquotes"",""dquotesManchester by the Seadquotes""]}"
030,"[""dquotesVertigodquotes"",""dquotesJamaica Planedquotes"",""dquotesRopedquotes"",""dquotesThe Birdsdquotes""]",2,What was the name of the Alfred Hitchcock movie filmed to look like one continuous shot?,Global,"{""question"":""What was the name of the Alfred Hitchcock movie filmed to look like one continuous shot?"",""correct_answer"":2,""answers"":[""dquotesVertigodquotes"",""dquotesJamaica Planedquotes"",""dquotesRopedquotes"",""dquotesThe Birdsdquotes""]}"
031,"[""England"",""Morrocoys"",""Monaco"",""Norway""]",2,"Originally from Philadelphia, Grace Kelly married a prince and became the Princess of what country?",Global,"{""question"":""Originally from Philadelphia, Grace Kelly married a prince and became the Princess of what country?"",""correct_answer"":2,""answers"":[""England"",""Morrocoys"",""Monaco"",""Norway""]}"
032,"[""dquotesCasablancadquotes"",""dquotesGone With the Winddquotes"",""dquotesAvatardquotes"",""dquotesTitanicdquotes""]",1,"Taking inflation into account, what is the highest grossing movie of all time?",Global,"{""question"":""Taking inflation into account, what is the highest grossing movie of all time?"",""correct_answer"":1,""answers"":[""dquotesCasablancadquotes"",""dquotesGone With the Winddquotes"",""dquotesAvatardquotes"",""dquotesTitanicdquotes""]}"
033,"[""Jonesy"",""Pumpkin"",""Stevie"",""Tiger""]",0,"What was the name of the orange cat kept on the ship in ""Alien?""",Global,"{""question"":""What was the name of the orange cat kept on the ship in ""Alien?"""",""correct_answer"":0,""answers"":[""Jonesy"",""Pumpkin"",""Stevie"",""Tiger""]}"
034,"[""dquotesScreamdquotes"",""dquotesThe Babadookdquotes"",""dquotesThe Thingdquotes"",""dquotesAliendquotes""]",1,"What horror movie was accidently tagged in the LGBTQ+ section of Netflix, unintentionally making the monster a LGBTQ+ icon?",Global,"{""question"":""What horror movie was accidently tagged in the LGBTQ+ section of Netflix, unintentionally making the monster a LGBTQ+ icon?"",""correct_answer"":1,""answers"":[""dquotesScreamdquotes"",""dquotesThe Babadookdquotes"",""dquotesThe Thingdquotes"",""dquotesAliendquotes""]}"
035,"[""Ctrl + c"",""Shift + c"",""Ctrl + v"",""Shift + v""]",0,What is the computer shorthand for copying text or an image?,Global,"{""question"":""What is the computer shorthand for copying text or an image?"",""correct_answer"":0,""answers"":[""Ctrl + c"",""Shift + c"",""Ctrl + v"",""Shift + v""]}"
036,"[""Greta Thunberg"",""Marie Curie"",""Malala Yousafzai"",""Gertrude Ellon""]",1,Who was the first woman to win a Nobel Prize?,Global,"{""question"":""Who was the first woman to win a Nobel Prize?"",""correct_answer"":1,""answers"":[""Greta Thunberg"",""Marie Curie"",""Malala Yousafzai"",""Gertrude Ellon""]}"
037,"[""Neptune"",""Venus"",""Saturn"",""Jupiter""]",2,What planet in our solar system has the most moons with 83 in total?,Global,"{""question"":""What planet in our solar system has the most moons with 83 in total?"",""correct_answer"":2,""answers"":[""Neptune"",""Venus"",""Saturn"",""Jupiter""]}"
038,"[""Orange"",""Pink"",""Blue"",""Purple""]",2,What color is the sunset on Mars?,Global,"{""question"":""What color is the sunset on Mars?"",""correct_answer"":2,""answers"":[""Orange"",""Pink"",""Blue"",""Purple""]}"
039,"[""Type A+"",""Type B"",""Type C"",""Type O""]",3,"What blood type is known as ""universal donor"" blood?",Global,"{""question"":""What blood type is known as ""universal donor"" blood?"",""correct_answer"":3,""answers"":[""Type A+"",""Type B"",""Type C"",""Type O""]}"
040,"[""Makalu"",""Mount Everest"",""Annapurna"",""Kamet""]",1,What is the tallest mountain on Earth?,Global,"{""question"":""What is the tallest mountain on Earth?"",""correct_answer"":1,""answers"":[""Makalu"",""Mount Everest"",""Annapurna"",""Kamet""]}"
041,"[""Radiation"",""Pressure"",""Temperature"",""Density""]",0,What does the Geiger Counter measure?,Global,"{""question"":""What does the Geiger Counter measure?"",""correct_answer"":0,""answers"":[""Radiation"",""Pressure"",""Temperature"",""Density""]}"
042,"[""Copernicus"",""Plato"",""Galileo"",""Aristotle""]",2,Who invented the telescope?,Global,"{""question"":""Who invented the telescope?"",""correct_answer"":2,""answers"":[""Copernicus"",""Plato"",""Galileo"",""Aristotle""]}"
043,"[""12"",""8"",""9"",""7""]",3,How many Zodiac Signs are represented by animals?,Global,"{""question"":""How many Zodiac Signs are represented by animals?"",""correct_answer"":3,""answers"":[""12"",""8"",""9"",""7""]}"
044,"[""dquotesSick Sad Worlddquotes"",""dquotesThe Young Onesdquotes"",""dquotesArmy of Aliensdquotes"",""dquotesUf-oh nodquotes""]",0,"What is the name of the popular TV show on ""Daria""",Global,"{""question"":""What is the name of the popular TV show on ""Daria"""",""correct_answer"":0,""answers"":[""dquotesSick Sad Worlddquotes"",""dquotesThe Young Onesdquotes"",""dquotesArmy of Aliensdquotes"",""dquotesUf-oh nodquotes""]}"
045,"[""dquotesCSI: Crime Scene Investigationdquotes"",""dquotesLaw and Order: SVUdquotes"",""dquotesGunsmokedquotes"",""dquotesNCISdquotes""]",1,What is the longest running live action primetime show?,All,"{""question"":""What is the longest running live action primetime show?"",""correct_answer"":1,""answers"":[""dquotesCSI: Crime Scene Investigationdquotes"",""dquotesLaw and Order: SVUdquotes"",""dquotesGunsmokedquotes"",""dquotesNCISdquotes""]}"
046,"[""dquotesGolden Girlsdquotes"",""dquotesFamily Guydquotes"",""dquotesThe Simpsonsdquotes"",""dquotesSpongeBob SquarePantsdquotes""]",2,What is the longest running show of all time?,All,"{""question"":""What is the longest running show of all time?"",""correct_answer"":2,""answers"":[""dquotesGolden Girlsdquotes"",""dquotesFamily Guydquotes"",""dquotesThe Simpsonsdquotes"",""dquotesSpongeBob SquarePantsdquotes""]}"
047,"[""Applebee's"",""The Cheesecake Factory"",""T.G.I Fridays"",""Hibachi""]",1,"What restaurant is Penny a waitress for in ""The Big Bang Theory?""",Global,"{""question"":""What restaurant is Penny a waitress for in ""The Big Bang Theory?"""",""correct_answer"":1,""answers"":[""Applebee's"",""The Cheesecake Factory"",""T.G.I Fridays"",""Hibachi""]}"
048,"[""Sherwood"",""Canterbury"",""Far Far Away"",""Duloc""]",3,"What is the name of the city Lord Farquaad rules in ""Shrek?""",Global,"{""question"":""What is the name of the city Lord Farquaad rules in ""Shrek?"""",""correct_answer"":3,""answers"":[""Sherwood"",""Canterbury"",""Far Far Away"",""Duloc""]}"
049,"[""Martha Stewart"",""Bill Murray"",""Dwayne dquotesThe Rockdquotes Johnson"",""Willie Nelson""]",1,"What famous actor played himself in the first ""Zombieland"" movie?",Global,"{""question"":""What famous actor played himself in the first ""Zombieland"" movie?"",""correct_answer"":1,""answers"":[""Martha Stewart"",""Bill Murray"",""Dwayne dquotesThe Rockdquotes Johnson"",""Willie Nelson""]}"
050,"[""75 meters"",""100 meters"",""50 meters"",""30 meters""]",2,How long is an Olympic swimming pool in meters?,Global,"{""question"":""How long is an Olympic swimming pool in meters?"",""correct_answer"":2,""answers"":[""75 meters"",""100 meters"",""50 meters"",""30 meters""]}"
051,"[""Germany, Russia, Japan"",""Russia, Japan, Italy"",""Italy, France, Russia"",""Germany, Italy, Japan""]",3,In World War II the Axis powers were made up of what countries?,Global,"{""question"":""In World War II the Axis powers were made up of what countries?"",""correct_answer"":3,""answers"":[""Germany, Russia, Japan"",""Russia, Japan, Italy"",""Italy, France, Russia"",""Germany, Italy, Japan""]}"
052,"[""Atlantic"",""Pacific"",""Arctic"",""Indian""]",1,What is the largest ocean on Earth?,Global,"{""question"":""What is the largest ocean on Earth?"",""correct_answer"":1,""answers"":[""Atlantic"",""Pacific"",""Arctic"",""Indian""]}"
053,"[""Coffee"",""Coca-Cola"",""Tea"",""Lemonade""]",2,What is the most consumed manufactured drink in the world?,Global,"{""question"":""What is the most consumed manufactured drink in the world?"",""correct_answer"":2,""answers"":[""Coffee"",""Coca-Cola"",""Tea"",""Lemonade""]}"
054,"[""Mr. Potato Head Doll"",""Barbie Doll"",""GI Joe"",""Jack in the Box""]",0,What was the first toy to be advertised on television?,All,"{""question"":""What was the first toy to be advertised on television?"",""correct_answer"":0,""answers"":[""Mr. Potato Head Doll"",""Barbie Doll"",""GI Joe"",""Jack in the Box""]}"
055,"[""dquotesM.A.S.Hdquotes"",""dquotesStar Trekdquotes"",""dquotesFull Housedquotes"",""dquotesFamily Mattersdquotes""]",1,What TV show aired the first interracial kiss?,All,"{""question"":""What TV show aired the first interracial kiss?"",""correct_answer"":1,""answers"":[""dquotesM.A.S.Hdquotes"",""dquotesStar Trekdquotes"",""dquotesFull Housedquotes"",""dquotesFamily Mattersdquotes""]}"
056,"[""Tennis"",""Water Polo"",""Football (American)"",""Soccer""]",3,"What sport is known as ""The King of Sports?""",Global,"{""question"":""What sport is known as ""The King of Sports?"""",""correct_answer"":3,""answers"":[""Tennis"",""Water Polo"",""Football (American)"",""Soccer""]}"
057,"[""Russia"",""Asia"",""North America"",""Africa""]",1,What is the largest continent on Earth?,Global,"{""question"":""What is the largest continent on Earth?"",""correct_answer"":1,""answers"":[""Russia"",""Asia"",""North America"",""Africa""]}"
058,"[""Arizona"",""Utah"",""New Mexico"",""Texas""]",2,"Famous for the alleged UFO crash, Roswell is a city in what US state?",All,"{""question"":""Famous for the alleged UFO crash, Roswell is a city in what US state?"",""correct_answer"":2,""answers"":[""Arizona"",""Utah"",""New Mexico"",""Texas""]}"
059,"[""Stallion"",""Cow"",""Unicorn"",""Pig""]",2,What is the national animal of Scotland?,Global,"{""question"":""What is the national animal of Scotland?"",""correct_answer"":2,""answers"":[""Stallion"",""Cow"",""Unicorn"",""Pig""]}"
060,"[""Mars"",""Mercury"",""Neptune"",""Venus""]",3,What is the hottest planet in out solar system?,Global,"{""question"":""What is the hottest planet in out solar system?"",""correct_answer"":3,""answers"":[""Mars"",""Mercury"",""Neptune"",""Venus""]}"
061,"[""Georgia"",""Florida"",""Alabama"",""Mississippi""]",0,In what US state is it illegal to eat fried chicken with a fork?,All,"{""question"":""In what US state is it illegal to eat fried chicken with a fork?"",""correct_answer"":0,""answers"":[""Georgia"",""Florida"",""Alabama"",""Mississippi""]}"
062,"[""New Mexico"",""Nevada"",""Utah"",""Arizona""]",1,Area 51 is located in what US state?,All,"{""question"":""Area 51 is located in what US state?"",""correct_answer"":1,""answers"":[""New Mexico"",""Nevada"",""Utah"",""Arizona""]}"
063,"[""Iceland"",""Ireland"",""Sweden"",""Netherlands""]",0,What country diverts roads to make sure elves are undisturbed?,Global,"{""question"":""What country diverts roads to make sure elves are undisturbed?"",""correct_answer"":0,""answers"":[""Iceland"",""Ireland"",""Sweden"",""Netherlands""]}"
064,"[""Da Vinci"",""Michelangelo"",""Donatello"",""Raphael""]",1,Who painted the ceiling of the Sistine Chapel?,Global,"{""question"":""Who painted the ceiling of the Sistine Chapel?"",""correct_answer"":1,""answers"":[""Da Vinci"",""Michelangelo"",""Donatello"",""Raphael""]}"
065,"[""Wheatfield with Crows"",""Irises"",""Tree Roots"",""Self Portrait""]",2,What was Vincent van Gogh's final painting?,Global,"{""question"":""What was Vincent van Gogh's final painting?"",""correct_answer"":2,""answers"":[""Wheatfield with Crows"",""Irises"",""Tree Roots"",""Self Portrait""]}"
066,"[""Gritty"",""Benny the Bull"",""Otto the Orange"",""Jazz Bear""]",0,Who is the mascot of the Philadelphia Flyers?,All,"{""question"":""Who is the mascot of the Philadelphia Flyers?"",""correct_answer"":0,""answers"":[""Gritty"",""Benny the Bull"",""Otto the Orange"",""Jazz Bear""]}"
067,"[""Golf"",""Tennis"",""Soccer"",""Bowling""]",1,"""Love"" is a score in what sport?",Global,"{""question"":""""Love"" is a score in what sport?"",""correct_answer"":1,""answers"":[""Golf"",""Tennis"",""Soccer"",""Bowling""]}"
068,"[""1924"",""1932"",""1900"",""1950""]",2,What year were women first allowed to participate in the Olympics?,Global,"{""question"":""What year were women first allowed to participate in the Olympics?"",""correct_answer"":2,""answers"":[""1924"",""1932"",""1900"",""1950""]}"
069,"[""Badminton"",""Golf"",""Basketball"",""Flag Football""]",1,What was the first and only sport played on the moon?,Global,"{""question"":""What was the first and only sport played on the moon?"",""correct_answer"":1,""answers"":[""Badminton"",""Golf"",""Basketball"",""Flag Football""]}"
070,"[""The Springfield Isotopes"",""The Springfield Clowns"",""The Springfield Neutrons"",""The Springfield Experience""]",0,"What is the name of the fictional baseball team in ""The Simpsons?""",Global,"{""question"":""What is the name of the fictional baseball team in ""The Simpsons?"""",""correct_answer"":0,""answers"":[""The Springfield Isotopes"",""The Springfield Clowns"",""The Springfield Neutrons"",""The Springfield Experience""]}"
071,"[""1990"",""1985"",""1987"",""1995""]",1,What year was the WWE's first WrestleMania?,Global,"{""question"":""What year was the WWE's first WrestleMania?"",""correct_answer"":1,""answers"":[""1990"",""1985"",""1987"",""1995""]}"
072,"[""WCW (World Championship Wrestling)"",""ECW (Extreme Championship Wrestling)"",""WWF (World Wrestling Federation)"",""It has always been WWE""]",2,"Before they rebranded as WWE (World Wrestling Entertainment), what name did WWE go by?",Global,"{""question"":""Before they rebranded as WWE (World Wrestling Entertainment), what name did WWE go by?"",""correct_answer"":2,""answers"":[""WCW (World Championship Wrestling)"",""ECW (Extreme Championship Wrestling)"",""WWF (World Wrestling Federation)"",""It has always been WWE""]}"
073,"[""dquotesTake On Medquotes by A-ha"",""dquotesVideo Killed the Radio Stardquotes by the Buggles"",""dquotesBohemian Rhapsodydquotes by Queen"",""dquotesStairway to Heavendquotes by Led Zeppelin""]",1,What was the first music video to appear on MTV?,All,"{""question"":""What was the first music video to appear on MTV?"",""correct_answer"":1,""answers"":[""dquotesTake On Medquotes by A-ha"",""dquotesVideo Killed the Radio Stardquotes by the Buggles"",""dquotesBohemian Rhapsodydquotes by Queen"",""dquotesStairway to Heavendquotes by Led Zeppelin""]}"
074,"[""Duran Duran"",""AC/DC"",""The Zombies"",""Captain Beefheart and His Magic Band""]",0,"The movie ""Barbarella"" inspired the name of what music group?",Global,"{""question"":""The movie ""Barbarella"" inspired the name of what music group?"",""correct_answer"":0,""answers"":[""Duran Duran"",""AC/DC"",""The Zombies"",""Captain Beefheart and His Magic Band""]}"
075,"[""Spice Girls"",""Spice World"",""Spice"",""Baby Spice""]",2,What was the name of The Spice Girls debut album?,Global,"{""question"":""What was the name of The Spice Girls debut album?"",""correct_answer"":2,""answers"":[""Spice Girls"",""Spice World"",""Spice"",""Baby Spice""]}"
076,"[""That's great it starts with an earthquake"",""The latter starts to clatter"",""Birthday party, cheesecake, jellybean, boom"",""Richard Nixon back again""]",3,"Which of these is not a lyric of ""It's the End of the World as We Know It"" by REM?",Global,"{""question"":""Which of these is not a lyric of ""It's the End of the World as We Know It"" by REM?"",""correct_answer"":3,""answers"":[""That's great it starts with an earthquake"",""The latter starts to clatter"",""Birthday party, cheesecake, jellybean, boom"",""Richard Nixon back again""]}"
077,"[""The Eagles"",""Led Zeppelin"",""Black Sabbath"",""Styx""]",1,The New Yardbirds was the original name for what popular band?,Global,"{""question"":""The New Yardbirds was the original name for what popular band?"",""correct_answer"":1,""answers"":[""The Eagles"",""Led Zeppelin"",""Black Sabbath"",""Styx""]}"
078,"[""Motley Cru"",""Guns N Roses"",""Queen"",""The Beatles""]",2,Brian Harold May was the lead guitarist of what classic rock band?,Global,"{""question"":""Brian Harold May was the lead guitarist of what classic rock band?"",""correct_answer"":2,""answers"":[""Motley Cru"",""Guns N Roses"",""Queen"",""The Beatles""]}"
079,"[""Switzerland"",""Iceland"",""Norway"",""Sweden""]",3,What country did ABBA originate from?,Global,"{""question"":""What country did ABBA originate from?"",""correct_answer"":3,""answers"":[""Switzerland"",""Iceland"",""Norway"",""Sweden""]}"
080,"[""dquotesYou'll Be In My Heartdquotes by Phil Collins "",""dquotesMy Heart Will Go Ondquotes performed by Celine Dion"",""dquotesI Don't Want to Miss a Thingdquotes performed by Aerosmith"",""dquotesIf I Didn't Have Youdquotes by Randy Newman""]",2,Which song did NOT win an Academy Award for best original song?,Global,"{""question"":""Which song did NOT win an Academy Award for best original song?"",""correct_answer"":2,""answers"":[""dquotesYou'll Be In My Heartdquotes by Phil Collins "",""dquotesMy Heart Will Go Ondquotes performed by Celine Dion"",""dquotesI Don't Want to Miss a Thingdquotes performed by Aerosmith"",""dquotesIf I Didn't Have Youdquotes by Randy Newman""]}"
081,"[""Lady Gaga"",""Ariana Grande"",""Tina Turner"",""Madonna""]",3,"Who is known as ""The Queen of Pop?""",Global,"{""question"":""Who is known as ""The Queen of Pop?"""",""correct_answer"":3,""answers"":[""Lady Gaga"",""Ariana Grande"",""Tina Turner"",""Madonna""]}"
082,"[""House Greyjoy"",""House Baratheon"",""House Tully"",""House Tyrell""]",0,"In ""Game of Thrones"" what house does the motto ""We do not sow"" belong to?",Global,"{""question"":""In ""Game of Thrones"" what house does the motto ""We do not sow"" belong to?"",""correct_answer"":0,""answers"":[""House Greyjoy"",""House Baratheon"",""House Tully"",""House Tyrell""]}"
083,"[""Legolas"",""Aragorn"",""Frodo"",""Samwise""]",1,"What ""Lord of the Rings"" character was injured by kicking a helmet on camera, breaking two of their toes?",Global,"{""question"":""What ""Lord of the Rings"" character was injured by kicking a helmet on camera, breaking two of their toes?"",""correct_answer"":1,""answers"":[""Legolas"",""Aragorn"",""Frodo"",""Samwise""]}"
084,"[""Vermont"",""Florida"",""Colorado"",""Idaho""]",2,"What US state does the show ""South Park"" take place in?",Global,"{""question"":""What US state does the show ""South Park"" take place in?"",""correct_answer"":2,""answers"":[""Vermont"",""Florida"",""Colorado"",""Idaho""]}"
085,"[""From the south"",""Left handed"",""Farsighted"",""Stubborn""]",1,"To say someone is a ""southpaw"" means they are - ",Global,"{""question"":""To say someone is a ""southpaw"" means they are - "",""correct_answer"":1,""answers"":[""From the south"",""Left handed"",""Farsighted"",""Stubborn""]}"
086,"[""Starbucks"",""Monk's Cafe"",""Luke's"",""Central Perk""]",3,"What is the name of the coffee house on the TV show ""Friends?""",Global,"{""question"":""What is the name of the coffee house on the TV show ""Friends?"""",""correct_answer"":3,""answers"":[""Starbucks"",""Monk's Cafe"",""Luke's"",""Central Perk""]}"
